Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Predicted_Credit_Score,Predicted_Default_Probability_%,Risk_Tier
1,,0.88551908,43,0,0.177512717,5700.0,4,0,0,0,0,779,7.75,Excellent
2,,0.463295269,57,0,0.527236928,9141.0,15,0,4,0,2,809,5.24,Excellent
3,,0.043275036,59,0,0.687647522,5083.0,12,0,1,0,2,850,1.14,Excellent
4,,0.280308229,38,1,0.925960637,3200.0,7,0,2,0,0,784,7.23,Excellent
5,,0.9999999,27,0,0.019917227,3865.0,4,0,0,0,1,748,11.33,Good
6,,0.509791452,63,0,0.342429365,4140.0,4,0,0,0,1,842,3.39,Excellent
7,,0.587778161,50,0,1048.0,0.0,5,0,0,0,3,828,4.06,Excellent
8,,0.046148938,79,1,0.3691702,3301.0,8,0,1,0,1,820,4.53,Excellent
9,,0.013527027,68,0,2024.0,,4,0,1,0,0,850,0.5,Excellent
10,,0.9999999,23,98,0.0,0.0,0,98,0,98,0,629,39.97,Poor
